station_id,brand_id,town,postcode,lat,lon
RO.1077.8,OMV,Cluj Napoca,400581,46.78095,23.63159
RO.1079.8,PETROM,Cluj Napoca,400495,46.74003,23.59215
RO.1080.8,PETROM,Com. Baciu,407055,46.78578,23.54819
RO.1081.8,PETROM,Cluj Napoca,400268,46.78784,23.59692
RO.1083.8,PETROM,Cluj Napoca,400552,46.75361,23.5526
RO.1084.8,OMV,"sat Sintesti, com.Margina",307260,45.857756,22.247949
RO.1085.8,PETROM,Campia Turzii,405100,46.55013,23.89179
RO.1086.8,OMV,"sat Mihai Viteazu, Com.Mihai Viteazu",407405,46.53757,23.78356
RO.1087.8,PETROM,Huedin,405400,46.85585,23.04461
RO.1088.8,PETROM,Dej,405200,47.1507,23.8772
RO.1089.8,PETROM,Gherla,405300,47.02472,23.89512
RO.1090.8,OMV,Suceava,720262,47.63672,26.23788
RO.1091.8,PETROM,Suceava,720021,47.66567,26.2461
RO.1092.8,OMV,Suceava,720107,47.66791,26.29231
RO.1093.8,PETROM,Gura Humorului,725300,47.55267,25.90611
RO.1099.8,OMV,"Sat.Sadova, Com.Sadova",727470,47.5354,25.5036
RO.1100.8,PETROM,Vatra Dornei,725700,47.3476,25.3609
RO.1101.8,OMV,Miercurea Sibiului,557150,45.9005408,23.7639058
RO.1102.8,OMV,Miercurea Sibiului,557150,45.9009227,23.7590718
RO.1103.8,OMV,Otopeni,075100,44.5671,26.0703
RO.1104.8,OMV,Falticeni,725200,47.45127,26.29524
RO.1105.8,PETROM,"Sat Holda, Com.Brosteni",727075,47.2613,25.6871
RO.1108.8,PETROM,Radauti,725400,47.83358,25.93192
RO.1113.8,OMV,Botosani,710068,47.74937,26.64463
RO.1114.8,PETROM,Botosani,710370,47.72985,26.67214
RO.1119.8,PETROM,Dorohoi,715200,47.9392,26.4088
RO.1120.8,PETROM,Darabani,715100,48.18399,26.60206
RO.1121.8,PETROM,"Sat Maghera, Comuna Varfu Campului",717450,47.85694,26.30981
RO.1126.8,PETROM,Iasi,700624,47.14724,27.60578
RO.1127.8,OMV,Iasi,700012,47.15905,27.57381
RO.1130.8,PETROM,Iasi,700452,47.18855,27.56527
RO.1132.8,PETROM,Iasi,700065,47.16001,27.58136
RO.1134.8,PETROM,Iasi,700440,47.16953,27.55467
RO.1135.8,PETROM,Iasi,700547,47.17341,27.5349
RO.1136.8,OMV,Iasi,700280,47.13497,27.61009
RO.1139.8,PETROM,Targu Frumos,705300,47.21594,27.00854
RO.1140.8,OMV,Targu Frumos,705300,47.20628,27.01008
